Evidence,Property,Source,Genome ID,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,Antibiotics Class,Antibiotics,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"BLAT","Antibiotic Resistance","NDARO","562.42709","Escherichia coli strain 287","fig|562.42709.peg.2983",,,"WP_012967412.1","Klebsiella",,"RND efflux system, inner membrane transporter","MULTISPECIES: multidrug efflux RND transporter permease subunit OqxB9","",,,,100,100,98,"0.0"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.42709","Escherichia coli strain 287","fig|562.42709.peg.2983",,,"2400",,,"RND efflux system, inner membrane transporter","oqxB","antibiotic efflux","fluoroquinolone; glycylcycline; tetracycline; diaminopyrimidine; nitrofuran","tigecycline;ciprofloxacin;nitrofurantoin;trimethoprim",,100,100,98,"0"
"BLAT","Antibiotic Resistance","NDARO","562.42857","Escherichia coli strain MUGSI_274","fig|562.42857.peg.4775",,,"WP_012967412.1","Klebsiella",,"RND efflux system, inner membrane transporter","MULTISPECIES: multidrug efflux RND transporter permease subunit OqxB9","",,,,99,99,97,"0.0"
"BLAT","Antibiotic Resistance","NDARO","562.12961","Escherichia coli strain F1-8-ERB4","fig|562.12961.peg.1374","SAMEA3531867_02312",,"WP_016947602.1","Enterobacteriaceae","acrB_2","RND efflux system, inner membrane transporter","MULTISPECIES: multidrug efflux RND transporter permease subunit OqxB25",,,,,100,100,100,"0.0"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.42857","Escherichia coli strain MUGSI_274","fig|562.42857.peg.4775",,,"2400",,,"RND efflux system, inner membrane transporter","oqxB","antibiotic efflux","fluoroquinolone; glycylcycline; tetracycline; diaminopyrimidine; nitrofuran","tigecycline;ciprofloxacin;nitrofurantoin;trimethoprim",,,,,
"AMRFinderPlus: EXACTP","Antibiotic Resistance","NDARO","562.99037","Escherichia coli 83d8166e-7bb8-11e9-a8d3-68b59976a384","fig|562.99037.peg.4917",,,"WP_000347934.1",,,"RND efflux system, inner membrane transporter","multidrug efflux RND transporter permease subunit OqxB",,"phenicol/quinolone","phenicol;quinolone",,100,100,100,
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.23357","Escherichia coli O2:H4 strain ECO1123","fig|562.23357.peg.4931",,,"2400",,,"RND efflux system, inner membrane transporter","oqxB","antibiotic efflux","fluoroquinolone; glycylcycline; tetracycline; diaminopyrimidine; nitrofuran","tigecycline;ciprofloxacin;nitrofurantoin;trimethoprim",,100,100,100,"0"
"BLAT","Antibiotic Resistance","CARD","562.28132","Escherichia coli strain CRE1493","fig|562.28132.peg.5195","BVL38_26425",,"YP_001693238","Escherichia coli","oqxB","RND efflux system, inner membrane transporter",,"efflux pump conferring antibiotic resistance",,,,100,100,100,"0.0"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.12961","Escherichia coli strain F1-8-ERB4","fig|562.12961.peg.1374","SAMEA3531867_02312",,"2400",,"acrB_2","RND efflux system, inner membrane transporter","oqxB","antibiotic efflux","fluoroquinolone; glycylcycline; tetracycline; diaminopyrimidine; nitrofuran","tigecycline;ciprofloxacin;nitrofurantoin;trimethoprim",,100,100,99,"0"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.28132","Escherichia coli strain CRE1493","fig|562.28132.peg.5195","BVL38_26425",,"2400",,,"RND efflux system, inner membrane transporter","oqxB","antibiotic efflux","fluoroquinolone; glycylcycline; tetracycline; diaminopyrimidine; nitrofuran","tigecycline;ciprofloxacin;nitrofurantoin;trimethoprim",,100,100,100,"0"
"BLAT","Antibiotic Resistance","CARD","562.42709","Escherichia coli strain 287","fig|562.42709.peg.2983",,,"YP_001693238","Escherichia coli","oqxB","RND efflux system, inner membrane transporter",,"efflux pump conferring antibiotic resistance",,,,100,100,98,"0.0"
"AMRFinderPlus: BLASTP","Antibiotic Resistance","NDARO","562.42709","Escherichia coli strain 287","fig|562.42709.peg.2983",,,"WP_012967412.1",,,"RND efflux system, inner membrane transporter","multidrug efflux RND transporter permease subunit OqxB",,"phenicol/quinolone","phenicol;quinolone",,100,100,98,
