Evidence,Property,Source,Genome ID,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,Antibiotics Class,Antibiotics,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"AMRFinderPlus: BLASTP","Antibiotic Resistance","NDARO","562.135563","Escherichia coli MGL_86","fig|562.135563.peg.4731","R2R64_16340",,"WP_063840321.1",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr",,"aminoglycoside/quinolone","amikacin;kanamycin;quinolone;tobramycin",,100,92,100,
"BLAT","Antibiotic Resistance","NDARO","562.42861","Escherichia coli strain MUGSI_287","fig|562.42861.peg.5033",,,"WP_063839878.1","Serratia marcescens",,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","MULTISPECIES: class A beta-lactamase TEM-156","",,,,42,97,98,"1e-107"
"AMRFinderPlus: BLASTP","Antibiotic Resistance","NDARO","562.96990","Escherichia coli VREC1066","fig|562.96990.peg.5370",,,"WP_063840321.1",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr",,"aminoglycoside/quinolone","amikacin;kanamycin;quinolone;tobramycin",,100,92,100,
"BLAT","Antibiotic Resistance","CARD","562.99754","Escherichia coli ecabd68a-7bb8-11e9-a8d3-68b59976a384","fig|562.99754.peg.5050",,,"ABC17627.1","Escherichia coli","AAC(6')-Ib-cr","Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene",,,,100,100,100,"1e-112"
"K-mer Search","Antibiotic Resistance","PATRIC","562.23488","Escherichia coli O25:H4 strain ECO1063","fig|562.23488.peg.5050",,,,,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"antibiotic inactivation enzyme","aminoglycosides,fluoroquinolones quinolones quinolines","ciprofloxacin;dibekacin;arbekacin;netilmicin;neomycin;isepamicin;sisomicin;tobramycin;amikacin;kanamycin a;gentamicin b","16369542;18710261",,,,
"BLAT","Antibiotic Resistance","NDARO","562.57197","Escherichia coli strain 24742_1#336","fig|562.57197.peg.5246",,,"WP_063839878.1","Serratia marcescens",,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","MULTISPECIES: class A beta-lactamase TEM-156","",,,,42,97,98,"1e-107"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.135581","Escherichia coli 20200203_MGL_06","fig|562.135581.peg.5067","BFL17_27490",,"1370",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","AAC(6')-Ib10","antibiotic inactivation","aminoglycoside","amikacin;kanamycin A;tobramycin",,97,99,97,"2.89724e-144"
"AMRFinderPlus: BLASTP","Antibiotic Resistance","NDARO","562.99605","Escherichia coli a9b44b86-7bb9-11e9-a8d3-68b59976a384","fig|562.99605.peg.4601",,,"WP_063840321.1",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr",,"aminoglycoside/quinolone","amikacin;kanamycin;quinolone;tobramycin",,100,92,100,
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.23884","Escherichia coli O25:H4 strain ECO1154","fig|562.23884.peg.5282",,,"1370",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","AAC(6')-Ib10","antibiotic inactivation","aminoglycoside","amikacin;kanamycin A;tobramycin",,97,99,97,"2.89724e-144"
"BLAT","Antibiotic Resistance","NDARO","562.23664","Escherichia coli O25:H4 strain ECO1399","fig|562.23664.peg.5005",,,"WP_063839878.1","Serratia marcescens",,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","MULTISPECIES: class A beta-lactamase TEM-156","",,,,42,97,98,"1e-107"
"BLAT","Antibiotic Resistance","NDARO","562.57292","Escherichia coli strain 24742_1#236","fig|562.57292.peg.4845",,,"WP_063839878.1","Serratia marcescens",,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","MULTISPECIES: class A beta-lactamase TEM-156","",,,,42,97,98,"1e-107"
"BLAT","Antibiotic Resistance","CARD","562.59222","Escherichia coli strain PBIO1943","fig|562.59222.peg.4901",,,"ABC17627.1","Escherichia coli","AAC(6')-Ib-cr","Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene",,,,100,100,100,"1e-112"
"AMRFinderPlus: BLASTP","Antibiotic Resistance","NDARO","562.140885","Escherichia coli 013-E2-S02","fig|562.140885.peg.5189",,,"WP_063840321.1",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr",,"aminoglycoside/quinolone","amikacin;kanamycin;quinolone;tobramycin",,100,92,100,
"BLAT","Antibiotic Resistance","CARD","562.135593","Escherichia coli MGL_126","fig|562.135593.peg.5134",,,"ABC17627.1","Escherichia coli","AAC(6')-Ib-cr","Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene",,,,100,100,100,"1e-112"
"AMRFinderPlus: BLASTP","Antibiotic Resistance","NDARO","562.42667","Escherichia coli strain 195","fig|562.42667.peg.5514",,,"WP_063840321.1",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr",,"aminoglycoside/quinolone","amikacin;kanamycin;quinolone;tobramycin",,100,92,100,
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.140890","Escherichia coli 006-E1-U04","fig|562.140890.peg.5233",,,"1370",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","AAC(6')-Ib10","antibiotic inactivation","aminoglycoside","amikacin;kanamycin A;tobramycin",,97,99,97,"2.89724e-144"
"BLAT","Antibiotic Resistance","CARD","562.56872","Escherichia coli strain 784-12","fig|562.56872.peg.5182",,,"ABC17627.1","Escherichia coli","AAC(6')-Ib-cr","Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene",,,,100,100,100,"1e-112"
"BLAT","Antibiotic Resistance","CARD","562.144915","Escherichia coli MGL_91","fig|562.144915.peg.4666",,,"ABC17627.1","Escherichia coli","AAC(6')-Ib-cr","Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene",,,,100,100,100,"1e-112"
"BLAT","Antibiotic Resistance","NDARO","562.58632","Escherichia coli strain PH156-1","fig|562.58632.peg.4752",,,"WP_063839878.1","Serratia marcescens",,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","MULTISPECIES: class A beta-lactamase TEM-156","",,,,42,97,98,"1e-107"
"BLAT","Antibiotic Resistance","CARD","562.97070","Escherichia coli VRES1307","fig|562.97070.peg.5158",,,"ABC17627.1","Escherichia coli","AAC(6')-Ib-cr","Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene",,,,100,100,100,"1e-112"
"BLAT","Antibiotic Resistance","CARD","562.140884","Escherichia coli 013-E1-S02","fig|562.140884.peg.5206",,,"ABC17627.1","Escherichia coli","AAC(6')-Ib-cr","Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene",,,,100,100,100,"1e-112"
"BLAT","Antibiotic Resistance","CARD","562.42817","Escherichia coli strain M7","fig|562.42817.peg.5240",,,"ABC17627.1","Escherichia coli","AAC(6')-Ib-cr","Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene",,,,100,100,100,"1e-112"
"BLAT","Antibiotic Resistance","CARD","562.144927","Escherichia coli 20200203_MGL_11","fig|562.144927.peg.4824",,,"ABC17627.1","Escherichia coli","AAC(6')-Ib-cr","Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene",,,,100,100,100,"1e-112"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.42670","Escherichia coli strain 198","fig|562.42670.peg.5421",,,"1370",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","AAC(6')-Ib10","antibiotic inactivation","aminoglycoside","amikacin;kanamycin A;tobramycin",,97,99,97,"2.89724e-144"
"AMRFinderPlus: BLASTP","Antibiotic Resistance","NDARO","562.65797","Escherichia coli strain 123445","fig|562.65797.peg.4907",,,"WP_063840321.1",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr",,"aminoglycoside/quinolone","amikacin;kanamycin;quinolone;tobramycin",,100,92,100,
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.100114","Escherichia coli ebb1eb16-7bb8-11e9-a8d3-68b59976a384","fig|562.100114.peg.5303","A4R37_24845",,"1370",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","AAC(6')-Ib10","antibiotic inactivation","aminoglycoside","amikacin;kanamycin A;tobramycin",,97,99,97,"2.89724e-144"
"BLAT","Antibiotic Resistance","NDARO","562.99474","Escherichia coli a468d5de-7bb9-11e9-a8d3-68b59976a384","fig|562.99474.peg.5046",,,"WP_063839878.1","Serratia marcescens",,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","MULTISPECIES: class A beta-lactamase TEM-156","",,,,42,97,98,"1e-107"
"K-mer Search","Antibiotic Resistance","PATRIC","562.22700","Escherichia coli O89/O162:H4 strain ECO0290","fig|562.22700.peg.4733",,,,,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"antibiotic inactivation enzyme","aminoglycosides,fluoroquinolones quinolones quinolines","ciprofloxacin;dibekacin;arbekacin;netilmicin;neomycin;isepamicin;sisomicin;tobramycin;amikacin;kanamycin a;gentamicin b","16369542;18710261",,,,
"K-mer Search","Antibiotic Resistance","PATRIC","562.22754","Escherichia coli O25:H4 strain ECO0345","fig|562.22754.peg.5392",,,,,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"antibiotic inactivation enzyme","aminoglycosides,fluoroquinolones quinolones quinolines","ciprofloxacin;dibekacin;arbekacin;netilmicin;neomycin;isepamicin;sisomicin;tobramycin;amikacin;kanamycin a;gentamicin b","16369542;18710261",,,,
"BLAT","Antibiotic Resistance","NDARO","562.144920","Escherichia coli 20200203_MGL_07","fig|562.144920.peg.5012",,,"WP_063839878.1","Serratia marcescens",,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","MULTISPECIES: class A beta-lactamase TEM-156","",,,,42,97,98,"1e-107"
"BLAT","Antibiotic Resistance","NDARO","562.96895","Escherichia coli VREC1014","fig|562.96895.peg.5144",,,"WP_063839878.1","Serratia marcescens",,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","MULTISPECIES: class A beta-lactamase TEM-156","",,,,42,99,98,"1e-107"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.100361","Escherichia coli 43a7d830-7bb9-11e9-a8d3-68b59976a384","fig|562.100361.peg.5264","AWG52_26185",,"1370",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","AAC(6')-Ib10","antibiotic inactivation","aminoglycoside","amikacin;kanamycin A;tobramycin",,97,99,97,"2.89724e-144"
"BLAT","Antibiotic Resistance","NDARO","562.144915","Escherichia coli MGL_91","fig|562.144915.peg.4666",,,"WP_063839878.1","Serratia marcescens",,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","MULTISPECIES: class A beta-lactamase TEM-156","",,,,42,97,98,"1e-107"
"BLAT","Antibiotic Resistance","CARD","562.23359","Escherichia coli O25:H4 strain ECO1125","fig|562.23359.peg.5027",,,"ABC17627.1","Escherichia coli",,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene",,,,100,100,100,"1e-112"
"AMRFinderPlus: BLASTP","Antibiotic Resistance","NDARO","562.31450","Escherichia coli strain KCRI-247 strain R0008_247","fig|562.31450.peg.4676","SAMEA3753303_05202",,"WP_063840321.1",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr",,"aminoglycoside/quinolone","amikacin;kanamycin;quinolone;tobramycin",,100,92,100,
"AMRFinderPlus: BLASTP","Antibiotic Resistance","NDARO","562.96744","Escherichia coli VREC1630","fig|562.96744.peg.5058",,,"WP_063840321.1",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr",,"aminoglycoside/quinolone","amikacin;kanamycin;quinolone;tobramycin",,100,92,100,
"BLAT","Antibiotic Resistance","CARD","562.42792","Escherichia coli strain M37","fig|562.42792.peg.5156",,,"ABC17627.1","Escherichia coli","AAC(6')-Ib-cr","Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene",,,,100,100,100,"1e-112"
"AMRFinderPlus: BLASTP","Antibiotic Resistance","NDARO","562.140873","Escherichia coli 013-E3-U01","fig|562.140873.peg.5152",,,"WP_063840321.1",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr",,"aminoglycoside/quinolone","amikacin;kanamycin;quinolone;tobramycin",,100,92,100,
"BLAT","Antibiotic Resistance","NDARO","562.98807","Escherichia coli a13685fa-7bb9-11e9-a8d3-68b59976a384","fig|562.98807.peg.5268",,,"WP_063839878.1","Serratia marcescens",,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","MULTISPECIES: class A beta-lactamase TEM-156","",,,,42,97,98,"1e-107"
"BLAT","Antibiotic Resistance","CARD","562.57248","Escherichia coli strain 24742_1#354","fig|562.57248.peg.5206",,,"ABC17627.1","Escherichia coli","AAC(6')-Ib-cr","Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene",,,,100,100,100,"1e-112"
"BLAT","Antibiotic Resistance","NDARO","562.23501","Escherichia coli O25:H4 strain ECO1031","fig|562.23501.peg.5057",,,"WP_063839878.1","Serratia marcescens",,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","MULTISPECIES: class A beta-lactamase TEM-156","",,,,42,97,98,"1e-107"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.23869","Escherichia coli H9 strain ECO0972","fig|562.23869.peg.4812",,,"1370",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","AAC(6')-Ib10","antibiotic inactivation","aminoglycoside","amikacin;kanamycin A;tobramycin",,97,99,97,"2.89724e-144"
"BLAT","Antibiotic Resistance","NDARO","562.23194","Escherichia coli O25:H4 strain ECO0816","fig|562.23194.peg.5043",,,"WP_063839878.1","Serratia marcescens",,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","MULTISPECIES: class A beta-lactamase TEM-156","",,,,42,97,98,"1e-107"
"BLAT","Antibiotic Resistance","CARD","562.42702","Escherichia coli strain 279","fig|562.42702.peg.5097",,,"ABC17627.1","Escherichia coli","AAC(6')-Ib-cr","Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene",,,,100,100,100,"1e-112"
"BLAT","Antibiotic Resistance","CARD","562.23194","Escherichia coli O25:H4 strain ECO0816","fig|562.23194.peg.5043",,,"ABC17627.1","Escherichia coli",,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene",,,,100,100,100,"1e-112"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.140891","Escherichia coli 006-E1-U01","fig|562.140891.peg.5228",,,"1370",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","AAC(6')-Ib10","antibiotic inactivation","aminoglycoside","amikacin;kanamycin A;tobramycin",,97,99,97,"2.89724e-144"
"K-mer Search","Antibiotic Resistance","PATRIC","562.23895","Escherichia coli O25:H4 strain ECO1490","fig|562.23895.peg.5114",,,,,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"antibiotic inactivation enzyme","aminoglycosides,fluoroquinolones quinolones quinolines","ciprofloxacin;dibekacin;arbekacin;netilmicin;neomycin;isepamicin;sisomicin;tobramycin;amikacin;kanamycin a;gentamicin b","16369542;18710261",,,,
"AMRFinderPlus: BLASTP","Antibiotic Resistance","NDARO","562.59219","Escherichia coli strain PBIO1944","fig|562.59219.peg.5362","HFC66_20820",,"WP_063840321.1",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr",,"aminoglycoside/quinolone","amikacin;kanamycin;quinolone;tobramycin",,100,92,100,
"BLAT","Antibiotic Resistance","NDARO","562.96442","Escherichia coli VRES0704","fig|562.96442.peg.4511",,,"WP_063839878.1","Serratia marcescens",,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","MULTISPECIES: class A beta-lactamase TEM-156","",,,,42,97,98,"1e-107"
"BLAT","Antibiotic Resistance","CARD","562.140870","Escherichia coli 013-E3-S01","fig|562.140870.peg.5184",,,"ABC17627.1","Escherichia coli","AAC(6')-Ib-cr","Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene",,,,100,100,100,"1e-112"
"BLAT","Antibiotic Resistance","CARD","562.96743","Escherichia coli VREC0885","fig|562.96743.peg.5063",,,"ABC17627.1","Escherichia coli","AAC(6')-Ib-cr","Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene",,,,100,100,100,"1e-112"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.140895","Escherichia coli 006-E1-S06","fig|562.140895.peg.5222",,,"1370",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","AAC(6')-Ib10","antibiotic inactivation","aminoglycoside","amikacin;kanamycin A;tobramycin",,97,99,97,"2.89724e-144"
"BLAT","Antibiotic Resistance","CARD","562.59224","Escherichia coli strain PBIO1940","fig|562.59224.peg.4749",,,"ABC17627.1","Escherichia coli","AAC(6')-Ib-cr","Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating",,"aminoglycoside resistance gene,antibiotic inactivation enzyme,fluoroquinolone resistance gene",,,,100,100,100,"1e-112"
"BLAT","Antibiotic Resistance","NDARO","562.23375","Escherichia coli O25:H4 strain ECO1140","fig|562.23375.peg.5064",,,"WP_063839878.1","Serratia marcescens",,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","MULTISPECIES: class A beta-lactamase TEM-156","",,,,42,97,98,"1e-107"
"AMRFinderPlus: BLASTP","Antibiotic Resistance","NDARO","562.23396","Escherichia coli O25:H4 strain ECO1163","fig|562.23396.peg.5134",,,"WP_063840321.1",,,"Aminoglycoside N(6')-acetyltransferase (EC 2.3.1.82) => AAC(6')-Ib-cr fluoroquinolone-acetylating","fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr",,"aminoglycoside/quinolone","amikacin;kanamycin;quinolone;tobramycin",,100,92,100,
