Evidence,Property,Source,Genome ID,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,Antibiotics Class,Antibiotics,PubMed,Subject Coverage,Query Coverage,Identity,E-value
"BLAT","Antibiotic Resistance","CARD","562.144942","Escherichia coli 20200203_MGL_12","fig|562.144942.peg.5025",,,"ABI50486.1","Klebsiella pneumoniae","QnrA1","Pentapeptide repeat protein QnrB family",,"antibiotic target protection protein,fluoroquinolone resistance gene",,,,100,100,100,"1e-130"
"BLAT","Antibiotic Resistance","NDARO","562.144942","Escherichia coli 20200203_MGL_12","fig|562.144942.peg.5025",,,"WP_012579084.1","Enterobacterales",,"Pentapeptide repeat protein QnrB family","MULTISPECIES: quinolone resistance pentapeptide repeat protein QnrA1","",,,,100,100,100,"1e-130"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.73393","Escherichia coli strain BB1409","fig|562.73393.peg.5159","BGZ_05100",,"1987",,"pipB2_2","Pentapeptide repeat protein QnrB family","QnrA1","antibiotic target protection","fluoroquinolone","ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin",,100,100,100,"6.38938e-163"
"BLAT","Antibiotic Resistance","NDARO","562.73393","Escherichia coli strain BB1409","fig|562.73393.peg.5159","BGZ_05100",,"WP_012579084.1","Enterobacterales","pipB2_2","Pentapeptide repeat protein QnrB family","MULTISPECIES: quinolone resistance pentapeptide repeat protein QnrA1","",,,,100,100,100,"1e-130"
"BLAT","Antibiotic Resistance","NDARO","562.73392","Escherichia coli strain BB1413","fig|562.73392.peg.5005","BGZ_04943",,"WP_012579084.1","Enterobacterales","pipB2_2","Pentapeptide repeat protein QnrB family","MULTISPECIES: quinolone resistance pentapeptide repeat protein QnrA1","",,,,100,100,100,"1e-130"
"AMRFinderPlus: ALLELEP","Antibiotic Resistance","NDARO","562.135591","Escherichia coli 20200203_MGL_12","fig|562.135591.peg.5026","R2R64_16340",,"WP_012579084.1",,,"Pentapeptide repeat protein QnrB family","quinolone resistance pentapeptide repeat protein QnrA1",,"quinolone","quinolone",,100,100,100,
"BLAT","Antibiotic Resistance","CARD","562.73354","Escherichia coli strain BB1403","fig|562.73354.peg.5537","JFD_05383",,"ABI50486.1","Klebsiella pneumoniae","QnrA1","Pentapeptide repeat protein QnrB family",,"antibiotic target protection protein,fluoroquinolone resistance gene",,,,100,100,100,"1e-130"
"AMRFinderPlus: ALLELEP","Antibiotic Resistance","NDARO","562.73392","Escherichia coli strain BB1413","fig|562.73392.peg.5005","BGZ_04943",,"WP_012579084.1",,"pipB2_2","Pentapeptide repeat protein QnrB family","quinolone resistance pentapeptide repeat protein QnrA1",,"quinolone","quinolone",,100,100,100,
"BLAT","Antibiotic Resistance","CARD","562.73393","Escherichia coli strain BB1409","fig|562.73393.peg.5159","BGZ_05100",,"ABI50486.1","Klebsiella pneumoniae","QnrA1","Pentapeptide repeat protein QnrB family",,"antibiotic target protection protein,fluoroquinolone resistance gene",,,,100,100,100,"1e-130"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.135591","Escherichia coli 20200203_MGL_12","fig|562.135591.peg.5026","BSZ13_15050",,"1987",,,"Pentapeptide repeat protein QnrB family","QnrA1","antibiotic target protection","fluoroquinolone","ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin",,100,100,100,"6.38938e-163"
"BLAT","Antibiotic Resistance","NDARO","562.73352","Escherichia coli strain BB1400","fig|562.73352.peg.5793","JFD_05591",,"WP_012579084.1","Enterobacterales","pipB2_2","Pentapeptide repeat protein QnrB family","MULTISPECIES: quinolone resistance pentapeptide repeat protein QnrA1","",,,,100,100,100,"1e-130"
"BLAT","Antibiotic Resistance","NDARO","562.73357","Escherichia coli strain BB1410","fig|562.73357.peg.5362","JFD_05234",,"WP_012579084.1","Enterobacterales","pipB2_2","Pentapeptide repeat protein QnrB family","MULTISPECIES: quinolone resistance pentapeptide repeat protein QnrA1","",,,,100,100,100,"1e-130"
"BLAT","Antibiotic Resistance","NDARO","562.135591","Escherichia coli 20200203_MGL_12","fig|562.135591.peg.5026",,,"WP_012579084.1","Enterobacterales",,"Pentapeptide repeat protein QnrB family","MULTISPECIES: quinolone resistance pentapeptide repeat protein QnrA1","",,,,100,100,100,"1e-130"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.144942","Escherichia coli 20200203_MGL_12","fig|562.144942.peg.5025",,,"1987",,,"Pentapeptide repeat protein QnrB family","QnrA1","antibiotic target protection","fluoroquinolone","ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin",,100,100,100,"6.38938e-163"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.22979","Escherichia coli O6:H1 strain ECO0602","fig|562.22979.peg.5274",,,"1987",,,"Pentapeptide repeat protein QnrB family","QnrA1","antibiotic target protection","fluoroquinolone","ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin",,100,100,100,"6.38938e-163"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.73358","Escherichia coli strain BB1402","fig|562.73358.peg.5743","JFD_05543",,"1987",,"pipB2_2","Pentapeptide repeat protein QnrB family","QnrA1","antibiotic target protection","fluoroquinolone","ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin",,100,100,100,"6.38938e-163"
"BLAT","Antibiotic Resistance","CARD","562.73352","Escherichia coli strain BB1400","fig|562.73352.peg.5793","JFD_05591",,"ABI50486.1","Klebsiella pneumoniae","QnrA1","Pentapeptide repeat protein QnrB family",,"antibiotic target protection protein,fluoroquinolone resistance gene",,,,100,100,100,"1e-130"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.73352","Escherichia coli strain BB1400","fig|562.73352.peg.5793","JFD_05591",,"1987",,"pipB2_2","Pentapeptide repeat protein QnrB family","QnrA1","antibiotic target protection","fluoroquinolone","ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin",,100,100,100,"6.38938e-163"
"BLAT","Antibiotic Resistance","NDARO","562.73354","Escherichia coli strain BB1403","fig|562.73354.peg.5537","JFD_05383",,"WP_012579084.1","Enterobacterales","pipB2_2","Pentapeptide repeat protein QnrB family","MULTISPECIES: quinolone resistance pentapeptide repeat protein QnrA1","",,,,100,100,100,"1e-130"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.73392","Escherichia coli strain BB1413","fig|562.73392.peg.5005","BGZ_04943",,"1987",,"pipB2_2","Pentapeptide repeat protein QnrB family","QnrA1","antibiotic target protection","fluoroquinolone","ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin",,100,100,100,"6.38938e-163"
"BLAT","Antibiotic Resistance","CARD","562.73346","Escherichia coli strain BB1412","fig|562.73346.peg.4986","JFD_04893",,"ABI50486.1","Klebsiella pneumoniae","QnrA1","Pentapeptide repeat protein QnrB family",,"antibiotic target protection protein,fluoroquinolone resistance gene",,,,100,100,100,"1e-130"
"BLAT","Antibiotic Resistance","NDARO","562.73358","Escherichia coli strain BB1402","fig|562.73358.peg.5743","JFD_05543",,"WP_012579084.1","Enterobacterales","pipB2_2","Pentapeptide repeat protein QnrB family","MULTISPECIES: quinolone resistance pentapeptide repeat protein QnrA1","",,,,100,100,100,"1e-130"
"AMRFinderPlus: ALLELEP","Antibiotic Resistance","NDARO","562.73358","Escherichia coli strain BB1402","fig|562.73358.peg.5743","JFD_05543",,"WP_012579084.1",,"pipB2_2","Pentapeptide repeat protein QnrB family","quinolone resistance pentapeptide repeat protein QnrA1",,"quinolone","quinolone",,100,100,100,
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.73357","Escherichia coli strain BB1410","fig|562.73357.peg.5362","JFD_05234",,"1987",,"pipB2_2","Pentapeptide repeat protein QnrB family","QnrA1","antibiotic target protection","fluoroquinolone","ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin",,100,100,100,"6.38938e-163"
"AMRFinderPlus: ALLELEP","Antibiotic Resistance","NDARO","562.73350","Escherichia coli strain BB1407","fig|562.73350.peg.5543","JFD_05388",,"WP_012579084.1",,"pipB2_2","Pentapeptide repeat protein QnrB family","quinolone resistance pentapeptide repeat protein QnrA1",,"quinolone","quinolone",,100,100,100,
"AMRFinderPlus: ALLELEP","Antibiotic Resistance","NDARO","562.73357","Escherichia coli strain BB1410","fig|562.73357.peg.5362","JFD_05234",,"WP_012579084.1",,"pipB2_2","Pentapeptide repeat protein QnrB family","quinolone resistance pentapeptide repeat protein QnrA1",,"quinolone","quinolone",,100,100,100,
"BLAT","Antibiotic Resistance","CARD","562.73351","Escherichia coli strain BB1408","fig|562.73351.peg.5495","JFD_05344",,"ABI50486.1","Klebsiella pneumoniae","QnrA1","Pentapeptide repeat protein QnrB family",,"antibiotic target protection protein,fluoroquinolone resistance gene",,,,100,100,100,"1e-130"
"BLAT","Antibiotic Resistance","NDARO","562.73383","Escherichia coli strain BB1443","fig|562.73383.peg.5499","JFD_05362",,"WP_012579084.1","Enterobacterales","pipB2_2","Pentapeptide repeat protein QnrB family","MULTISPECIES: quinolone resistance pentapeptide repeat protein QnrA1","",,,,100,100,100,"1e-130"
"RGI: protein homolog model","Antibiotic Resistance","CARD","562.73383","Escherichia coli strain BB1443","fig|562.73383.peg.5499","JFD_05362",,"1987",,"pipB2_2","Pentapeptide repeat protein QnrB family","QnrA1","antibiotic target protection","fluoroquinolone","ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic acid;norfloxacin;sparfloxacin",,100,100,100,"6.38938e-163"
"BLAT","Antibiotic Resistance","CARD","562.73358","Escherichia coli strain BB1402","fig|562.73358.peg.5743","JFD_05543",,"ABI50486.1","Klebsiella pneumoniae","QnrA1","Pentapeptide repeat protein QnrB family",,"antibiotic target protection protein,fluoroquinolone resistance gene",,,,100,100,100,"1e-130"
"AMRFinderPlus: ALLELEP","Antibiotic Resistance","NDARO","562.22979","Escherichia coli O6:H1 strain ECO0602","fig|562.22979.peg.5274",,,"WP_012579084.1",,,"Pentapeptide repeat protein QnrB family","quinolone resistance pentapeptide repeat protein QnrA1",,"quinolone","quinolone",,100,100,100,
"AMRFinderPlus: ALLELEP","Antibiotic Resistance","NDARO","562.144942","Escherichia coli 20200203_MGL_12","fig|562.144942.peg.5025",,,"WP_012579084.1",,,"Pentapeptide repeat protein QnrB family","quinolone resistance pentapeptide repeat protein QnrA1",,"quinolone","quinolone",,100,100,100,
